gender,age_from,age_to,family,cnt,age,nrep,deathrate,portion,family_factor,agegroup,contacts_mean
f,23,23,geschieden_lp,26.0,23,1,0.00017996,3.1318051641853075e-07,0,20,13.57
f,23,23,ledig,403369.0,23,1,0.00017996,0.004858742758739474,0,20,13.57
f,23,23,verheiratet,31886.0,23,1,0.00017996,0.00038407976717389506,1,20,13.57
f,23,23,verheiratet_lp,78.0,23,1,0.00017996,9.395415492555922e-07,0,20,13.57
f,23,23,verwitwet,50.0,23,1,0.00017996,6.022702238817899e-07,0,20,13.57
f,23,23,verwitwet_lp,3.0,23,1,0.00017996,3.6136213432907394e-08,0,20,13.57
f,24,24,geschieden,1850.0,24,1,0.00017994,2.2283998283626224e-05,0,20,13.57
f,24,24,geschieden_lp,40.0,24,1,0.00017994,4.818161791054319e-07,0,20,13.57
f,24,24,ledig,398173.0,24,1,0.00017994,0.004796154837073678,0,20,13.57
f,24,24,verheiratet,45792.0,24,1,0.00017994,0.0005515831618398984,1,20,13.57
f,24,24,verheiratet_lp,137.0,24,1,0.00017994,1.6502204134361042e-06,0,20,13.57
f,24,24,verwitwet,77.0,24,1,0.00017994,9.274961447779564e-07,0,20,13.57
f,24,24,verwitwet_lp,3.0,24,1,0.00017994,3.6136213432907394e-08,0,20,13.57
f,25,25,geschieden,2971.0,25,1,0.00019022,3.578689670305595e-05,0,20,13.57
f,25,25,geschieden_lp,66.0,25,1,0.00019022,7.949966955239626e-07,0,20,13.57
f,25,25,ledig,396473.0,25,1,0.00019022,0.004775677649461698,0,20,13.57
f,25,25,verheiratet,63316.0,25,1,0.00019022,0.0007626668299059882,1,20,13.57
f,25,25,verheiratet_lp,189.0,25,1,0.00019022,2.2765814462731658e-06,0,20,13.57
f,25,25,verwitwet,115.0,25,1,0.00019022,1.3852215149281167e-06,0,20,13.57
f,25,25,verwitwet_lp,2.0,25,1,0.00019022,2.4090808955271594e-08,0,20,13.57
f,26,26,geschieden,4439.0,26,1,0.0001882,5.3469550476225305e-05,0,20,13.57
f,26,26,geschieden_lp,99.0,26,1,0.0001882,1.1924950432859439e-06,0,20,13.57
f,26,26,ledig,381866.0,26,1,0.0001882,0.004599730426256872,0,20,13.57
f,26,26,verheiratet,86648.0,26,1,0.0001882,0.0010437102071781865,1,20,13.57
f,26,26,verheiratet_lp,277.0,26,1,0.0001882,3.3365770403051158e-06,0,20,13.57
f,26,26,verwitwet,143.0,26,1,0.0001882,1.722492840301919e-06,0,20,13.57
f,26,26,verwitwet_lp,0.0,26,1,0.0001882,0.0,0,20,13.57
f,27,27,geschieden,6230.0,27,1,0.00021518,7.504286989567102e-05,0,20,13.57
f,27,27,geschieden_lp,132.0,27,1,0.00021518,1.5899933910479252e-06,0,20,13.57
f,27,27,ledig,371560.0,27,1,0.00021518,0.004475590487710357,0,20,13.57
f,27,27,verheiratet,113375.0,27,1,0.00021518,0.0013656477326519586,1,20,13.57
f,27,27,verheiratet_lp,388.0,27,1,0.00021518,4.6736169373226894e-06,0,20,13.57
f,27,27,verwitwet,216.0,27,1,0.00021518,2.6018073671693324e-06,0,20,13.57
f,27,27,verwitwet_lp,2.0,27,1,0.00021518,2.4090808955271594e-08,0,20,13.57
f,28,28,geschieden,8875.0,28,1,0.00023564,0.0001069029647390177,0,20,13.57
f,28,28,geschieden_lp,173.0,28,1,0.00023564,2.083854974630993e-06,0,20,13.57
