gender,age_from,age_to,family,cnt,age,nrep,agegroup,deathrate,contacts_mean,family_factor,portion
f,6,6,geschieden_lp,0.0,6,1,5,0.0001,14.81,0,0.0
f,6,6,ledig,357868.0,6,1,5,0.0001,14.81,0,0.004310664809602568
f,6,6,verheiratet,0.0,6,1,5,0.0001,14.81,1,0.0
f,6,6,verheiratet_lp,0.0,6,1,5,0.0001,14.81,0,0.0
f,6,6,verwitwet,0.0,6,1,5,0.0001,14.81,0,0.0
f,6,6,verwitwet_lp,0.0,6,1,5,0.0001,14.81,0,0.0
f,7,7,geschieden,0.0,7,1,5,0.0,14.81,0,0.0
f,7,7,geschieden_lp,0.0,7,1,5,0.0,14.81,0,0.0
f,7,7,ledig,350421.0,7,1,5,0.0,14.81,0,0.004220962682457614
f,7,7,verheiratet,0.0,7,1,5,0.0,14.81,1,0.0
f,7,7,verheiratet_lp,0.0,7,1,5,0.0,14.81,0,0.0
f,7,7,verwitwet,0.0,7,1,5,0.0,14.81,0,0.0
f,7,7,verwitwet_lp,0.0,7,1,5,0.0,14.81,0,0.0
f,8,8,geschieden,0.0,8,1,5,0.0001,14.81,0,0.0
f,8,8,geschieden_lp,0.0,8,1,5,0.0001,14.81,0,0.0
f,8,8,ledig,359122.0,8,1,5,0.0001,14.81,0,0.004325769746817523
f,8,8,verheiratet,0.0,8,1,5,0.0001,14.81,1,0.0
f,8,8,verheiratet_lp,0.0,8,1,5,0.0001,14.81,0,0.0
f,8,8,verwitwet,0.0,8,1,5,0.0001,14.81,0,0.0
f,8,8,verwitwet_lp,0.0,8,1,5,0.0001,14.81,0,0.0
f,9,9,geschieden,0.0,9,1,5,0.0001,14.81,0,0.0
f,9,9,geschieden_lp,0.0,9,1,5,0.0001,14.81,0,0.0
f,9,9,ledig,353022.0,9,1,5,0.0001,14.81,0,0.004252292779503944
f,9,9,verheiratet,0.0,9,1,5,0.0001,14.81,1,0.0
f,9,9,verheiratet_lp,0.0,9,1,5,0.0001,14.81,0,0.0
f,9,9,verwitwet,0.0,9,1,5,0.0001,14.81,0,0.0
f,9,9,verwitwet_lp,0.0,9,1,5,0.0001,14.81,0,0.0
f,10,10,geschieden,0.0,10,1,10,0.0001,18.22,0,0.0
f,10,10,geschieden_lp,0.0,10,1,10,0.0001,18.22,0,0.0
f,10,10,ledig,363004.0,10,1,10,0.0001,18.22,0,0.004372530006999705
f,10,10,verheiratet,0.0,10,1,10,0.0001,18.22,1,0.0
f,10,10,verheiratet_lp,0.0,10,1,10,0.0001,18.22,0,0.0
f,10,10,verwitwet,0.0,10,1,10,0.0001,18.22,0,0.0
f,10,10,verwitwet_lp,0.0,10,1,10,0.0001,18.22,0,0.0
f,11,11,geschieden,0.0,11,1,10,0.0001,18.22,0,0.0
f,11,11,geschieden_lp,0.0,11,1,10,0.0001,18.22,0,0.0
f,11,11,ledig,359949.0,11,1,10,0.0001,18.22,0,0.004335731296320528
f,11,11,verheiratet,0.0,11,1,10,0.0001,18.22,1,0.0
f,11,11,verheiratet_lp,0.0,11,1,10,0.0001,18.22,0,0.0
f,11,11,verwitwet,0.0,11,1,10,0.0001,18.22,0,0.0
f,11,11,verwitwet_lp,0.0,11,1,10,0.0001,18.22,0,0.0
f,12,12,geschieden,0.0,12,1,10,0.0001,18.22,0,0.0
f,12,12,geschieden_lp,0.0,12,1,10,0.0001,18.22,0,0.0
f,12,12,ledig,352344.0,12,1,10,0.0001,18.22,0,0.004244125995268107
f,12,12,verheiratet,0.0,12,1,10,0.0001,18.22,1,0.0
f,12,12,verheiratet_lp,0.0,12,1,10,0.0001,18.22,0,0.0
f,12,12,verwitwet,0.0,12,1,10,0.0001,18.22,0,0.0
f,12,12,verwitwet_lp,0.0,12,1,10,0.0001,18.22,0,0.0
f,13,13,geschieden,0.0,13,1,10,0.0001,18.22,0,0.0
f,13,13,geschieden_lp,1.0,13,1,10,0.0001,18.22,0,1.2045404477635797e-08
f,13,13,ledig,357391.0,13,1,10,0.0001,18.22,0,0.0043049191516667355
f,13,13,verheiratet,0.0,13,1,10,0.0001,18.22,1,0.0
f,13,13,verheiratet_lp,0.0,13,1,10,0.0001,18.22,0,0.0
f,13,13,verwitwet,0.0,13,1,10,0.0001,18.22,0,0.0
f,13,13,verwitwet_lp,0.0,13,1,10,0.0001,18.22,0,0.0
