nationality;gender;ledig;verheiratet;verwitwet;geschieden;verheiratet_lp;geschieden_lp;verwitwet_lp;age_from;age_to
Foreigner;m;96667;28459;63;2045;211;48;2;30;30
Foreigner;m;87793;31113;70;2398;172;51;2;31;31
Foreigner;m;80200;32540;72;2848;216;58;4;32;32
Foreigner;m;73982;35799;106;3303;267;53;4;33;33
Foreigner;m;67034;37036;101;3792;243;58;4;34;34
Foreigner;m;60527;39375;94;4213;225;81;2;35;35
Foreigner;m;56403;42580;112;4842;226;94;3;36;36
Foreigner;m;51136;44382;129;5721;261;88;7;37;37
Foreigner;m;50379;47791;155;6176;253;83;7;38;38
Foreigner;m;43944;48031;181;6727;284;97;7;39;39
Foreigner;m;40567;49068;194;7101;275;91;6;40;40
Foreigner;m;37945;50143;226;7803;265;86;3;41;41
Foreigner;m;35367;50913;224;8275;244;86;12;42;42
Foreigner;m;33863;51988;255;8621;216;81;10;43;43
Foreigner;m;31596;52707;296;9272;230;72;6;44;44
Foreigner;m;28362;52038;301;9318;200;73;10;45;45
Foreigner;m;26956;52151;358;9456;220;53;13;46;46
Foreigner;m;24827;51411;400;9896;202;42;9;47;47
Foreigner;m;24098;50945;467;10002;228;52;11;48;48
Foreigner;m;21502;50590;512;10124;167;41;5;49;49
Foreigner;m;20220;48927;536;10005;169;47;8;50;50
Foreigner;m;17945;45381;571;9324;161;33;13;51;51
Foreigner;m;15532;45720;614;9354;148;35;9;52;52
Foreigner;m;14422;45083;670;9256;156;31;4;53;53
Foreigner;m;13041;43931;689;8905;119;28;9;54;54
Foreigner;m;11504;41156;717;8160;111;16;6;55;55
Foreigner;m;10285;37828;723;7655;98;21;9;56;56
Foreigner;m;9117;32979;713;6926;96;18;7;57;57
Foreigner;m;8779;32739;804;6837;94;15;4;58;58
Foreigner;m;7412;29676;779;6004;71;3;6;59;59
Foreigner;m;6423;28014;824;5763;66;9;5;60;60
Foreigner;m;5678;27194;895;5202;50;7;6;61;61
Foreigner;m;5010;27706;976;5026;62;4;9;62;62
Foreigner;m;4494;24544;897;4459;55;2;6;63;63
Foreigner;m;3626;21242;973;3944;47;2;1;64;64
Foreigner;m;3036;18634;949;3454;44;6;5;65;65
Foreigner;m;2621;19239;953;3256;49;1;4;66;66
Foreigner;m;2228;18564;1029;2844;48;4;4;67;67
Foreigner;m;2236;22274;1290;2968;46;3;4;68;68
Foreigner;m;1865;22431;1355;2768;44;3;2;69;69
Foreigner;m;1708;23136;1490;2630;25;2;3;70;70
Foreigner;m;1600;23245;1600;2380;28;1;5;71;71
Foreigner;m;1229;21254;1526;1998;36;2;2;72;72
Foreigner;m;1066;18325;1494;1573;25;5;6;73;73
Foreigner;m;926;17377;1523;1440;21;2;9;74;74
Foreigner;m;801;16106;1614;1261;21;-;2;75;75
Foreigner;m;746;15943;1619;1197;20;1;2;76;76
Foreigner;m;612;14055;1732;1048;17;-;6;77;77
Foreigner;m;692;14301;1797;1001;11;-;1;78;78
Foreigner;m;542;12447;1533;917;9;-;4;79;79
Foreigner;m;491;10758;1636;779;5;-;1;80;80
Foreigner;m;357;8775;1467;626;11;1;1;81;81
Foreigner;m;326;7339;1229;552;6;-;2;82;82
Foreigner;m;275;5743;1027;421;9;-;2;83;83
Foreigner;m;218;5226;1068;339;6;-;-;84;84
Foreigner;m;1055;16000;5096;1277;14;-;8;85;100
Foreigner;f;50395;-;-;-;-;-;-;0;0
Foreigner;f;51322;-;-;-;-;-;-;1;1
Foreigner;f;52831;-;-;-;-;-;-;2;2
Foreigner;f;49827;-;-;-;-;-;-;3;3
Foreigner;f;47662;-;-;-;-;-;-;4;4
Foreigner;f;43302;-;-;-;-;-;-;5;5
Foreigner;f;42849;-;-;-;-;-;-;6;6
Foreigner;f;42533;-;-;-;-;-;-;7;7
Foreigner;f;40668;-;-;-;-;-;-;8;8
Foreigner;f;39383;-;-;-;-;-;-;9;9
Foreigner;f;39390;-;-;-;-;-;-;10;10
Foreigner;f;36897;-;-;-;-;-;-;11;11
Foreigner;f;35215;-;-;-;-;-;-;12;12
Foreigner;f;34005;-;-;-;-;1;-;13;13
Foreigner;f;34019;-;1;-;-;-;-;14;14
Foreigner;f;33725;3;-;1;-;1;-;15;15
Foreigner;f;33146;19;-;1;-;1;-;16;16
Foreigner;f;33261;117;-;6;1;1;-;17;17
Foreigner;f;37829;756;1;10;-;1;-;18;18
Foreigner;f;52990;2254;4;25;1;-;-;19;19
Foreigner;f;59784;4157;11;50;1;3;-;20;20
Foreigner;f;65100;7161;13;143;3;2;1;21;21
Foreigner;f;67846;10327;24;246;6;2;1;22;22
Foreigner;f;69987;13407;26;422;8;4;-;23;23
Foreigner;f;71908;16865;42;616;17;4;1;24;24
Foreigner;f;72395;20278;60;913;24;7;2;25;25
Foreigner;f;70010;24624;70;1167;21;14;-;26;26
Foreigner;f;68536;28991;79;1605;40;13;1;27;27
Foreigner;f;67496;33794;115;1949;40;19;-;28;28
Foreigner;f;63812;37789;163;2344;63;17;2;29;29
Foreigner;f;58346;41604;162;2869;71;19;-;30;30
Foreigner;f;52493;44317;198;3301;63;29;2;31;31
Foreigner;f;46980;46169;210;3705;76;16;2;32;32
Foreigner;f;42944;49087;265;4265;63;30;1;33;33
Foreigner;f;38668;50706;303;5005;82;23;1;34;34
Foreigner;f;35033;52668;363;5586;96;24;2;35;35
Foreigner;f;32216;55782;409;6417;79;36;-;36;36
Foreigner;f;28851;58029;470;7260;75;32;1;37;37
Foreigner;f;27849;60172;519;7929;92;39;1;38;38
Foreigner;f;24189;59781;660;8545;88;26;-;39;39
Foreigner;f;22323;59471;689;8888;96;31;-;40;40
Foreigner;f;20858;59137;851;9608;69;35;-;41;41
Foreigner;f;19308;59140;882;10412;90;23;1;42;42
Foreigner;f;18286;58784;1063;11050;68;21;1;43;43
Foreigner;f;17211;59048;1205;11509;77;23;2;44;44
Foreigner;f;15749;58393;1337;11635;85;19;2;45;45
Foreigner;f;14497;56894;1432;11663;70;21;-;46;46
Foreigner;f;13232;54718;1627;11737;72;21;-;47;47
Foreigner;f;12552;53357;1813;11811;69;26;1;48;48
Foreigner;f;11229;50612;1886;11498;55;15;2;49;49
Foreigner;f;10727;47930;2125;11038;71;16;1;50;50
Foreigner;f;9559;43438;2156;10129;54;12;3;51;51
Foreigner;f;8269;43071;2205;9543;56;13;2;52;52
Foreigner;f;7517;41782;2477;9256;63;13;2;53;53
Foreigner;f;6699;39245;2701;8916;54;16;1;54;54
Foreigner;f;6206;35674;2805;8217;45;18;2;55;55
Foreigner;f;5584;33859;3075;7575;38;10;2;56;56
Foreigner;f;4974;30253;3178;6792;27;6;3;57;57
Foreigner;f;4955;30813;3530;6566;40;8;4;58;58
Foreigner;f;4121;27030;3605;5869;30;1;-;59;59
Foreigner;f;3700;25459;3600;5428;27;6;3;60;60
Foreigner;f;3308;23843;3823;5001;20;3;2;61;61
Foreigner;f;2988;24573;4429;4901;24;2;3;62;62
Foreigner;f;2863;24650;5063;4698;25;6;1;63;63
Foreigner;f;2544;24298;5218;4399;18;4;1;64;64
Foreigner;f;2178;23083;5461;4069;16;3;1;65;65
Foreigner;f;2114;23770;6118;4079;21;2;-;66;66
Foreigner;f;1844;21216;5882;3612;15;4;1;67;67
Foreigner;f;1878;23456;7530;3653;20;2;2;68;68
Foreigner;f;1585;21402;7281;3247;14;1;1;69;69
Foreigner;f;1378;19552;7233;3155;8;3;1;70;70
Foreigner;f;1281;17961;7103;2760;13;-;1;71;71
Foreigner;f;1120;15277;6754;2419;10;1;2;72;72
Foreigner;f;948;13099;6436;1927;12;-;3;73;73
Foreigner;f;793;11267;6429;1733;12;-;-;74;74
Foreigner;f;706;9667;5856;1536;6;-;1;75;75
Foreigner;f;691;8799;5914;1444;6;-;-;76;76
Foreigner;f;645;7176;5823;1255;5;-;-;77;77
Foreigner;f;592;6987;6534;1240;7;1;-;78;78
Foreigner;f;518;5719;5607;1170;3;-;-;79;79
Foreigner;f;520;4834;5247;1086;3;-;1;80;80
Foreigner;f;482;3986;4862;907;1;1;-;81;81
Foreigner;f;372;3117;4239;710;5;-;-;82;82
Foreigner;f;368;2354;3828;588;3;-;-;83;83
Foreigner;f;282;1824;3349;488;1;-;2;84;84
Foreigner;f;1566;7216;18443;2551;8;1;1;85;100
