"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","2","females","Y26","26 years","99","total","2019","2019",312624,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y26","26 years","99","total","2019","2019",643323,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y27","27 years","99","total","2019","2019",312183,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y27","27 years","99","total","2019","2019",640950,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y27","27 years","99","total","2019","2019",328767,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y28","28 years","99","total","2019","2019",335470,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y28","28 years","99","total","2019","2019",320066,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y28","28 years","99","total","2019","2019",655536,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y29","29 years","99","total","2019","2019",332568,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y29","29 years","99","total","2019","2019",322363,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y29","29 years","99","total","2019","2019",654931,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y30","30 years","99","total","2019","2019",670761,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y30","30 years","99","total","2019","2019",340386,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y30","30 years","99","total","2019","2019",330375,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y31","31 years","99","total","2019","2019",333167,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y31","31 years","99","total","2019","2019",658626,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y31","31 years","99","total","2019","2019",325459,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y32","32 years","99","total","2019","2019",662121,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y32","32 years","99","total","2019","2019",334356,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y32","32 years","99","total","2019","2019",327765,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y33","33 years","99","total","2019","2019",343850,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y33","33 years","99","total","2019","2019",339063,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y33","33 years","99","total","2019","2019",682913,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y34","34 years","99","total","2019","2019",345482,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y34","34 years","99","total","2019","2019",694925,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y34","34 years","99","total","2019","2019",349443,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y35","35 years","99","total","2019","2019",355461,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y35","35 years","99","total","2019","2019",351315,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y35","35 years","99","total","2019","2019",706776,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y36","36 years","99","total","2019","2019",366629,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y36","36 years","99","total","2019","2019",363980,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y36","36 years","99","total","2019","2019",730609,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y37","37 years","99","total","2019","2019",368253,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y37","37 years","99","total","2019","2019",735922,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y37","37 years","99","total","2019","2019",367669,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y38","38 years","99","total","2019","2019",379024,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y38","38 years","99","total","2019","2019",375400,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y38","38 years","99","total","2019","2019",754424,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y39","39 years","99","total","2019","2019",388582,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y39","39 years","99","total","2019","2019",388559,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y39","39 years","99","total","2019","2019",777141,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y40","40 years","99","total","2019","2019",409288,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y40","40 years","99","total","2019","2019",408464,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y40","40 years","99","total","2019","2019",817752,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y41","41 years","99","total","2019","2019",421013,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y41","41 years","99","total","2019","2019",422552,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y41","41 years","99","total","2019","2019",843565,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y42","42 years","99","total","2019","2019",438702,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y42","42 years","99","total","2019","2019",441140,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y42","42 years","99","total","2019","2019",879842,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y43","43 years","99","total","2019","2019",458200,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y43","43 years","99","total","2019","2019",461963,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y43","43 years","99","total","2019","2019",920163,"p","provisional data"
